epoch,H50_val_loss,H50_val_loss_min,H50_val_loss_max,H100_val_loss,H100_val_loss_min,H100_val_loss_max,H150_val_loss,H150_val_loss_min,H150_val_loss_max,H200_val_loss,H200_val_loss_min,H200_val_loss_max
1,0.50846,0.482,0.5268,0.50846,0.482,0.5268,0.50846,0.482,0.5268,0.50846,0.482,0.5268
2,0.61352,0.597,0.6317,0.61038,0.5987,0.6296,0.61142,0.5893,0.6356,0.61132,0.5926,0.6264
3,0.66554,0.6341,0.6839,0.66192,0.6342,0.6756,0.6621,0.6286,0.6792,0.66178,0.6274,0.6772
4,0.70956,0.6958,0.7183,0.7065,0.6939,0.717,0.70744,0.6888,0.7164,0.70538,0.6917,0.7147
5,0.72804,0.7183,0.7382,0.72634,0.7168,0.7399,0.72768,0.715,0.747,0.72416,0.7094,0.7345
6,0.74528,0.7375,0.7541,0.74702,0.7368,0.7561,0.74492,0.7326,0.7516,0.74532,0.729,0.7587
7,0.7558,0.732,0.7751,0.75654,0.7217,0.7781,0.75704,0.7356,0.7747,0.75552,0.7321,0.7755
8,0.7711,0.7534,0.7821,0.77104,0.7594,0.789,0.77508,0.7649,0.7879,0.77218,0.7588,0.7858
9,0.77308,0.7432,0.7896,0.77334,0.7547,0.7844,0.77412,0.7491,0.7961,0.76882,0.7384,0.7903
10,0.78172,0.7718,0.7854,0.78176,0.7745,0.7854,0.77874,0.7653,0.79,0.7768,0.77,0.7836
11,0.79986,0.7914,0.8067,0.79942,0.7886,0.8057,0.79854,0.7955,0.8019,0.79752,0.7915,0.805
12,0.7975,0.7911,0.8079,0.80078,0.7829,0.8156,0.80344,0.7924,0.8121,0.80106,0.7869,0.8104
13,0.80008,0.7862,0.8094,0.80168,0.7935,0.8115,0.80208,0.7943,0.8152,0.80222,0.7916,0.8137
14,0.81042,0.8009,0.8148,0.8105,0.8062,0.8159,0.80878,0.8033,0.8152,0.80906,0.8036,0.8144
15,0.81366,0.8052,0.8216,0.80864,0.7956,0.82,0.81236,0.8043,0.8158,0.81492,0.8057,0.8267
16,0.81094,0.7933,0.8187,0.81176,0.7945,0.8184,0.81306,0.7944,0.8216,0.81318,0.7965,0.8224
17,0.82006,0.8132,0.8257,0.81972,0.8149,0.8243,0.81532,0.8069,0.8201,0.81938,0.8071,0.8263
18,0.81942,0.8077,0.8321,0.81694,0.8023,0.8292,0.81826,0.8124,0.8224,0.81914,0.8104,0.825
19,0.82578,0.8165,0.8317,0.82186,0.8062,0.8308,0.8254,0.8196,0.8279,0.82378,0.8105,0.831
20,0.82606,0.8193,0.8343,0.823,0.8191,0.8281,0.82412,0.8132,0.8346,0.8287,0.8201,0.8374
21,0.82866,0.8169,0.8367,0.825,0.8188,0.8305,0.82684,0.8189,0.832,0.82632,0.8188,0.8344
22,0.82968,0.8233,0.8371,0.82886,0.8234,0.8334,0.82842,0.8201,0.8358,0.83118,0.8259,0.8394
23,0.83012,0.8202,0.8378,0.83086,0.8208,0.8387,0.8313,0.8274,0.8336,0.83288,0.826,0.8398
24,0.83708,0.8309,0.8438,0.8338,0.8283,0.8391,0.83488,0.8292,0.842,0.83448,0.8297,0.8388
25,0.83804,0.8272,0.8452,0.83588,0.8295,0.8423,0.83512,0.8267,0.8417,0.83714,0.8328,0.8445
26,0.83836,0.8311,0.8453,0.83642,0.8281,0.8422,0.83728,0.8335,0.8402,0.8397,0.8263,0.8467
27,0.8403,0.8348,0.8434,0.83816,0.8287,0.8459,0.83446,0.8257,0.8401,0.83546,0.8299,0.8468
28,0.83988,0.8324,0.8444,0.84038,0.8287,0.8473,0.8349,0.8303,0.8422,0.84194,0.8375,0.8454
29,0.84134,0.829,0.8498,0.8395,0.8326,0.8459,0.8401,0.8337,0.8435,0.8414,0.8345,0.8464
30,0.843,0.8364,0.8468,0.84224,0.8366,0.8469,0.8388,0.8342,0.8426,0.84008,0.8333,0.8459
31,0.84316,0.8365,0.8498,0.8418,0.8389,0.8451,0.84392,0.8386,0.8502,0.84294,0.8384,0.8496
32,0.8441,0.8398,0.848,0.83904,0.8336,0.8462,0.84258,0.8335,0.848,0.84074,0.8343,0.8475
33,0.84318,0.8371,0.8476,0.84358,0.8364,0.8492,0.84368,0.8383,0.8464,0.84484,0.8404,0.8486
34,0.84866,0.842,0.8516,0.84638,0.8406,0.8499,0.84502,0.8384,0.8493,0.84628,0.8405,0.8514
35,0.84728,0.8419,0.8518,0.84546,0.8349,0.8515,0.84286,0.8255,0.8512,0.84274,0.8238,0.8499
36,0.84824,0.8418,0.855,0.84324,0.8321,0.8508,0.84634,0.8379,0.8526,0.84528,0.8374,0.8545
37,0.8475,0.837,0.8539,0.84648,0.8331,0.8545,0.84772,0.8417,0.8527,0.84506,0.8386,0.8552
38,0.84626,0.8434,0.8493,0.84744,0.8413,0.8536,0.8475,0.842,0.8515,0.84932,0.8476,0.8542
39,0.8522,0.846,0.8567,0.8497,0.8427,0.857,0.85126,0.8444,0.8561,0.85,0.8461,0.8558
40,0.84746,0.8445,0.8526,0.8476,0.8382,0.8546,0.84794,0.8375,0.853,0.84636,0.836,0.8537
41,0.85214,0.848,0.8569,0.85134,0.8421,0.8579,0.84918,0.8453,0.8527,0.84796,0.8427,0.8525
42,0.85312,0.8442,0.8571,0.84734,0.8454,0.8495,0.85204,0.8463,0.8585,0.85106,0.8458,0.8562
43,0.85462,0.8481,0.8582,0.85,0.8386,0.858,0.85164,0.8501,0.8525,0.85202,0.8449,0.8583
44,0.85614,0.852,0.8601,0.8515,0.8451,0.8559,0.85434,0.8493,0.8579,0.85108,0.8425,0.8582
45,0.85514,0.8505,0.8591,0.85374,0.8438,0.8609,0.85336,0.8478,0.8582,0.84982,0.8399,0.8552
46,0.8549,0.8521,0.8587,0.84888,0.8414,0.8529,0.84726,0.8441,0.8541,0.84946,0.841,0.8548
47,0.85624,0.8531,0.8603,0.8502,0.8441,0.8534,0.85226,0.8482,0.8546,0.85318,0.8501,0.8563
48,0.8588,0.855,0.8619,0.85226,0.8442,0.8576,0.85244,0.848,0.8558,0.85326,0.8475,0.8601
49,0.85848,0.8573,0.8614,0.85284,0.8475,0.8577,0.85526,0.8477,0.865,0.85408,0.8503,0.8577
50,0.8588,0.8491,0.8633,0.85472,0.8474,0.8615,0.85464,0.849,0.8623,0.85582,0.8514,0.8598
51,,,,0.8543,0.8523,0.857,0.85554,0.8536,0.8581,0.85574,0.8512,0.8605
52,,,,0.85452,0.8514,0.8606,0.85424,0.8474,0.8597,0.85406,0.8496,0.8608
53,,,,0.85552,0.8522,0.8584,0.85416,0.8459,0.8587,0.85658,0.8546,0.8592
54,,,,0.85456,0.8501,0.8629,0.8574,0.8516,0.8626,0.8552,0.8512,0.8597
55,,,,0.85468,0.8479,0.8608,0.85954,0.8568,0.8629,0.85966,0.8569,0.8623
56,,,,0.85522,0.8491,0.8649,0.85748,0.8528,0.8633,0.8555,0.8516,0.8599
57,,,,0.85426,0.8455,0.8628,0.85692,0.855,0.8615,0.85576,0.8509,0.8599
58,,,,0.8573,0.8517,0.8645,0.85848,0.8557,0.8604,0.85984,0.8575,0.8631
59,,,,0.85846,0.8549,0.8629,0.8598,0.8544,0.8628,0.85856,0.8545,0.864
60,,,,0.85884,0.8521,0.863,0.86022,0.8571,0.863,0.8592,0.8533,0.8675
61,,,,0.8579,0.8511,0.8623,0.85902,0.8544,0.8624,0.85918,0.8557,0.8632
62,,,,0.85718,0.853,0.8613,0.8571,0.8555,0.8582,0.85754,0.8565,0.8596
63,,,,0.86014,0.8558,0.8632,0.86062,0.8559,0.8643,0.86172,0.8584,0.8669
64,,,,0.85852,0.852,0.8642,0.8605,0.8556,0.8629,0.85892,0.8572,0.8623
65,,,,0.8607,0.8557,0.8663,0.86082,0.8554,0.8643,0.8591,0.8565,0.8616
66,,,,0.86118,0.8506,0.8699,0.86144,0.8603,0.8626,0.85854,0.8541,0.8658
67,,,,0.86048,0.8586,0.8635,0.8599,0.8573,0.8636,0.85776,0.8487,0.8659
68,,,,0.85856,0.8516,0.868,0.8592,0.8578,0.8618,0.85982,0.8487,0.8646
69,,,,0.85686,0.8515,0.862,0.8595,0.8571,0.8667,0.85716,0.8499,0.8629
70,,,,0.85964,0.8567,0.8625,0.8606,0.8541,0.8663,0.8598,0.8496,0.8648
71,,,,0.86102,0.8579,0.8638,0.86032,0.8583,0.8653,0.85862,0.855,0.8646
72,,,,0.86192,0.8574,0.8661,0.85982,0.8575,0.8619,0.85866,0.8524,0.8656
73,,,,0.86314,0.8589,0.8661,0.8627,0.8608,0.8638,0.8614,0.8564,0.8641
74,,,,0.86114,0.8578,0.8667,0.86324,0.8572,0.8669,0.86036,0.8574,0.8639
75,,,,0.86262,0.8584,0.8681,0.86072,0.8553,0.8699,0.8622,0.8581,0.8678
76,,,,0.86084,0.8532,0.8665,0.86028,0.8549,0.8673,0.86166,0.859,0.8649
77,,,,0.86342,0.856,0.8698,0.86262,0.8607,0.8642,0.86266,0.8582,0.8653
78,,,,0.86244,0.8607,0.8646,0.86074,0.8543,0.866,0.8625,0.8551,0.8657
79,,,,0.86042,0.8568,0.8658,0.8646,0.8627,0.868,0.86252,0.8573,0.8665
80,,,,0.86314,0.857,0.8698,0.86402,0.8534,0.8753,0.86382,0.8609,0.867
81,,,,0.8627,0.8538,0.8696,0.862,0.8584,0.8681,0.8611,0.8583,0.8643
82,,,,0.8632,0.8594,0.8674,0.86424,0.8617,0.8666,0.86186,0.8585,0.8646
83,,,,0.86436,0.8573,0.8685,0.86108,0.8504,0.8654,0.86422,0.8608,0.8681
84,,,,0.86334,0.8595,0.8681,0.86314,0.8568,0.8663,0.86274,0.8593,0.8655
85,,,,0.8654,0.8595,0.8681,0.86468,0.8583,0.8704,0.86276,0.8592,0.8663
86,,,,0.86404,0.8608,0.8684,0.86472,0.862,0.8675,0.86206,0.8614,0.864
87,,,,0.86508,0.8616,0.87,0.8652,0.8592,0.8695,0.86254,0.8599,0.8671
88,,,,0.8641,0.8584,0.8726,0.8657,0.8617,0.8719,0.86274,0.8594,0.8671
89,,,,0.86608,0.8624,0.8699,0.86272,0.8568,0.872,0.8635,0.8591,0.8684
90,,,,0.8647,0.8545,0.8678,0.86434,0.8591,0.8676,0.86302,0.8572,0.8681
91,,,,0.86448,0.863,0.8665,0.86526,0.8632,0.8684,0.8647,0.8626,0.869
92,,,,0.86526,0.8621,0.8691,0.86492,0.8587,0.8693,0.86394,0.8602,0.8687
93,,,,0.86704,0.8614,0.871,0.86486,0.8625,0.8673,0.86466,0.8584,0.868
94,,,,0.86478,0.8594,0.8714,0.86472,0.8603,0.8701,0.86508,0.8617,0.8668
95,,,,0.866,0.8612,0.8696,0.86654,0.8628,0.87,0.864,0.861,0.8669
96,,,,0.86746,0.8638,0.8712,0.86408,0.8618,0.8675,0.86608,0.857,0.8708
97,,,,0.86764,0.8628,0.8715,0.86608,0.8581,0.8715,0.86608,0.8628,0.8699
98,,,,0.86538,0.8589,0.8698,0.86554,0.8608,0.869,0.86294,0.8594,0.8709
99,,,,0.8678,0.8632,0.8723,0.86498,0.8632,0.8668,0.86642,0.8627,0.8698
100,,,,0.86868,0.8635,0.8718,0.86648,0.8622,0.8693,0.8646,0.8614,0.868
101,,,,,,,0.8683,0.864,0.8729,0.86556,0.8623,0.867
102,,,,,,,0.86694,0.8632,0.8716,0.8673,0.8627,0.8692
103,,,,,,,0.86566,0.8613,0.8694,0.8668,0.8624,0.8738
104,,,,,,,0.8662,0.8603,0.8711,0.86516,0.8606,0.8686
105,,,,,,,0.86558,0.8579,0.87,0.86682,0.8636,0.8693
106,,,,,,,0.86832,0.8644,0.8727,0.86558,0.8567,0.8714
107,,,,,,,0.86858,0.8649,0.8717,0.86572,0.8624,0.8722
108,,,,,,,0.86596,0.8607,0.8697,0.86738,0.8659,0.8716
109,,,,,,,0.86788,0.8632,0.8718,0.86492,0.8625,0.8666
110,,,,,,,0.86516,0.8611,0.8692,0.86558,0.8601,0.8712
111,,,,,,,0.86848,0.8658,0.8716,0.86678,0.8651,0.8706
112,,,,,,,0.86726,0.8632,0.8697,0.86474,0.8616,0.8672
113,,,,,,,0.86734,0.8619,0.8719,0.86696,0.8653,0.8684
114,,,,,,,0.86924,0.8669,0.8718,0.8677,0.8639,0.87
115,,,,,,,0.86432,0.8596,0.8677,0.86508,0.8551,0.87
116,,,,,,,0.86626,0.8632,0.8684,0.86454,0.8614,0.8691
117,,,,,,,0.8695,0.8661,0.8731,0.86694,0.8658,0.8687
118,,,,,,,0.86732,0.8623,0.8722,0.86786,0.8638,0.874
119,,,,,,,0.8671,0.8654,0.8687,0.86884,0.865,0.875
120,,,,,,,0.86682,0.8599,0.8707,0.86762,0.8644,0.8712
121,,,,,,,0.87022,0.8667,0.8738,0.86898,0.8648,0.8742
122,,,,,,,0.86704,0.8636,0.8687,0.86568,0.8617,0.8685
123,,,,,,,0.87144,0.8684,0.8755,0.86734,0.8635,0.8722
124,,,,,,,0.87054,0.8672,0.8759,0.87004,0.8682,0.8738
125,,,,,,,0.86972,0.8679,0.8725,0.86854,0.8642,0.8717
126,,,,,,,0.86922,0.867,0.8714,0.8683,0.8636,0.8737
127,,,,,,,0.86982,0.8658,0.8745,0.869,0.8663,0.8743
128,,,,,,,0.87008,0.8682,0.8739,0.869,0.8681,0.8716
129,,,,,,,0.86892,0.865,0.8724,0.86544,0.8599,0.8712
130,,,,,,,0.86988,0.8647,0.8727,0.86948,0.8632,0.8746
131,,,,,,,0.8701,0.8651,0.8762,0.86878,0.863,0.8728
132,,,,,,,0.86976,0.8662,0.8743,0.87022,0.866,0.8738
133,,,,,,,0.87018,0.8663,0.8722,0.87094,0.8652,0.8745
134,,,,,,,0.8704,0.8685,0.8717,0.87142,0.8677,0.8732
135,,,,,,,0.87178,0.8672,0.8762,0.86784,0.865,0.8699
136,,,,,,,0.87048,0.8683,0.8744,0.87008,0.8685,0.8742
137,,,,,,,0.87026,0.8662,0.8735,0.86924,0.8647,0.8717
138,,,,,,,0.86968,0.8686,0.8714,0.86862,0.8656,0.8711
139,,,,,,,0.87076,0.8674,0.8746,0.87132,0.8676,0.8739
140,,,,,,,0.87204,0.8657,0.8776,0.8713,0.8666,0.8769
141,,,,,,,0.8706,0.8669,0.875,0.87052,0.8658,0.8747
142,,,,,,,0.87152,0.8676,0.8752,0.8715,0.8687,0.8728
143,,,,,,,0.86942,0.8674,0.8709,0.86966,0.8663,0.8717
144,,,,,,,0.87258,0.8702,0.8781,0.86992,0.8639,0.8747
145,,,,,,,0.87228,0.8674,0.8763,0.8701,0.8658,0.8727
146,,,,,,,0.87338,0.8699,0.8762,0.87048,0.8684,0.8737
147,,,,,,,0.8732,0.8693,0.8788,0.8718,0.8687,0.8756
148,,,,,,,0.87288,0.8681,0.877,0.87144,0.8674,0.8753
149,,,,,,,0.87392,0.8695,0.8778,0.87092,0.8664,0.8765
150,,,,,,,0.87368,0.8704,0.8796,0.87162,0.8687,0.8763
151,,,,,,,,,,0.86966,0.8654,0.8753
152,,,,,,,,,,0.87136,0.8684,0.8769
153,,,,,,,,,,0.8713,0.868,0.8743
154,,,,,,,,,,0.87266,0.8687,0.8765
155,,,,,,,,,,0.87214,0.8685,0.877
156,,,,,,,,,,0.86982,0.8652,0.8742
157,,,,,,,,,,0.87098,0.8666,0.8744
158,,,,,,,,,,0.87104,0.8691,0.8733
159,,,,,,,,,,0.87326,0.8696,0.8793
160,,,,,,,,,,0.8734,0.8697,0.877
161,,,,,,,,,,0.87176,0.8668,0.8776
162,,,,,,,,,,0.87116,0.866,0.8742
163,,,,,,,,,,0.87082,0.8675,0.8754
164,,,,,,,,,,0.87252,0.8698,0.8774
165,,,,,,,,,,0.87268,0.8686,0.8769
166,,,,,,,,,,0.87282,0.8688,0.8773
167,,,,,,,,,,0.87206,0.8695,0.8743
168,,,,,,,,,,0.87372,0.8657,0.8782
169,,,,,,,,,,0.8717,0.8685,0.8735
170,,,,,,,,,,0.87322,0.8705,0.8783
171,,,,,,,,,,0.87292,0.8707,0.8765
172,,,,,,,,,,0.87432,0.8695,0.879
173,,,,,,,,,,0.87284,0.8665,0.8765
174,,,,,,,,,,0.87412,0.87,0.8782
175,,,,,,,,,,0.87384,0.868,0.8787
176,,,,,,,,,,0.87304,0.8688,0.8765
177,,,,,,,,,,0.87524,0.8732,0.8779
178,,,,,,,,,,0.87326,0.8699,0.8772
179,,,,,,,,,,0.87426,0.8703,0.8783
180,,,,,,,,,,0.87376,0.8705,0.8784
181,,,,,,,,,,0.8748,0.8712,0.8774
182,,,,,,,,,,0.87482,0.8709,0.8794
183,,,,,,,,,,0.87332,0.869,0.8788
184,,,,,,,,,,0.87352,0.8704,0.8759
185,,,,,,,,,,0.87496,0.8716,0.8789
186,,,,,,,,,,0.87496,0.8712,0.8796
187,,,,,,,,,,0.87476,0.871,0.8796
188,,,,,,,,,,0.87626,0.872,0.8803
189,,,,,,,,,,0.87696,0.8736,0.8822
190,,,,,,,,,,0.8757,0.8736,0.8785
191,,,,,,,,,,0.87744,0.873,0.8823
192,,,,,,,,,,0.87656,0.8718,0.8814
193,,,,,,,,,,0.8763,0.8713,0.8818
194,,,,,,,,,,0.87772,0.8747,0.8819
195,,,,,,,,,,0.87732,0.8731,0.881
196,,,,,,,,,,0.87674,0.8723,0.8805
197,,,,,,,,,,0.87644,0.8724,0.8793
198,,,,,,,,,,0.8783,0.8728,0.8827
199,,,,,,,,,,0.8778,0.8735,0.8815
200,,,,,,,,,,0.8794,0.8753,0.8832
