Step,p50,p100,eh50,eh100
0,0.00285061490372755,0.00285061490372755,0.00258932490134612,0.00258932490134612
1,0.00166167572780978,0.00166209716757294,0.00165560441324487,0.00164696413296042
2,0.00129843875387451,0.00127498711721273,0.00120282243718975,0.00119410598825198
3,0.000534446383971954,0.000628886441991199,0.000823621087329229,0.000787250519788358
4,0.000446040082970285,0.000427672377263661,0.000455979880644009,0.000450347049627453
5,0.000370603975752601,0.000743259698574548,0.000378649849735666,0.000386556727025891
6,0.000484156651800731,0.000583315509429667,0.00034702253236901,0.000344319494615775
7,0.000430685975952656,0.000576687403881806,0.000283135489517008,0.000285823817685014
8,0.000551928170534666,0.000308703582559247,0.000264637517320807,0.000219634168970515
9,0.000283064069735701,0.000321795511372329,0.000207811106520239,0.000237676858669147
10,0.00029742073995294,0.000288932039875363,0.000198114479717333,0.000185927801321668
11,0.00083827447710064,0.000359134277132398,0.000177043192888959,0.000149495105615642
12,0.00033650578239758,0.000247231490284321,0.000150466640116065,0.000134384644516103
13,0.000165738072537351,0.000270245650608558,0.000134257834870368,0.0001279160494596
14,0.000118941714663379,0.000315028761688154,0.000130976060790999,0.000128683508810354
15,0.000123010620300192,0.000124012506348663,0.000125830059332657,0.000123223700975359
16,0.000105931555190182,0.000404890777208493,0.000121637535612535,0.000118578293204337
17,0.000113190932461293,0.00028085804246075,0.000118536513164145,0.000112823173512879
18,0.000149230825736595,0.000180147680475784,0.000117413378375204,0.000107563498913805
19,9.63614234569832E-05,0.000117656499096483,0.00011486562932987,0.000101222183020582
20,0.000104475545431342,0.000131121880313003,0.000112632205964474,9.25591508712387E-05
21,0.000108108013027959,0.000209056667808909,0.000107987030478398,8.38402465888066E-05
22,0.000122785086423391,0.000356707829996594,0.000102247718095896,8.00393885765516E-05
23,0.000116009517241764,0.000175516799299658,9.4954559681355E-05,7.66785378073109E-05
24,0.000101937694835215,0.000200783196723933,8.91218851211306E-05,7.2865898400778E-05
25,0.000118186167273961,106.254750600051,8.47277978391503E-05,6.84446573177411E-05
26,0.000107984007627238,0.0172379863860988,8.27961401591892E-05,6.55090150758042E-05
27,0.000102083853107615,0.00856000090308953,8.07985759638541E-05,6.48665474000154E-05
28,9.3430450760934E-05,0.00591509439454967,7.96772628928011E-05,6.35216985756415E-05
29,8.79857739164436E-05,0.00426413269936347,7.8288251770573E-05,6.55234136138461E-05
30,7.84750425373204E-05,0.00312953313477919,7.68369219076703E-05,6.38101500044286E-05
31,7.31746403016587E-05,0.00297176366086205,7.53448154500802E-05,6.26671235841059E-05
32,7.37694657345855E-05,0.00230711620970396,7.32541806428344E-05,6.18996121556847E-05
33,6.7692618822548E-05,0.00238331052363719,7.11808575761097E-05,6.1634516241611E-05
34,6.57287429385178E-05,0.00186586707968672,6.89808114657353E-05,6.15063855366316E-05
35,6.40441677842318E-05,0.00172331447625766,6.68429363031464E-05,6.108335499448E-05
36,6.03944372323895E-05,0.0015632381767864,6.5603273724264E-05,6.1333679677773E-05
37,5.82156429618408E-05,0.00167205080613712,6.46389434405137E-05,6.12215322507837E-05
38,5.66487486685219E-05,0.00185268121287663,6.42706935468596E-05,6.02717791662144E-05
39,5.45544925716968E-05,0.00137042276304783,6.38371313289099E-05,6.03001706622308E-05
40,5.26066012253068E-05,0.00129480467669964,6.36174759893038E-05,5.95442466874374E-05
41,5.12871568571427E-05,0.00123673419090665,6.34205091591866E-05,5.89358053002798E-05
42,5.04842929240113E-05,0.00120792528895436,6.31764197351004E-05,5.6985800001712E-05
43,4.963947950273E-05,0.00123009021513553,6.31577088461199E-05,5.59919766783423E-05
44,4.9229757332796E-05,0.00118587142655542,6.28937242436223E-05,5.52097020681686E-05
45,4.88014661368652E-05,0.00139594479818243,6.28073877305724E-05,5.54087468844955E-05
46,4.86137641291862E-05,0.00103356345514385,6.26974638544198E-05,5.46561485498387E-05
47,4.84517903532833E-05,0.00107146820982052,6.26258041302208E-05,5.44248573078221E-05
48,4.83113507334565E-05,0.00118780693459485,6.25378024415113E-05,5.5258833026528E-05
49,4.82614006477888E-05,0.00109228931927646,6.25080357167462E-05,5.43866108637303E-05
50,,0.000997767174139881,,5.51925754098193E-05
51,,0.000953500339473976,,5.40323778841412E-05
52,,0.000927537983498041,,5.40109777102771E-05
53,,0.00092673209109762,,5.3929575260554E-05
54,,0.000894488588369313,,5.39359600497846E-05
55,,0.000999749815887299,,5.37957429878588E-05
56,,0.000949271839945141,,5.37327441270463E-05
57,,0.000943728633735646,,5.3870704914516E-05
58,,0.00089318350704616,,5.35333267544047E-05
59,,0.000838054272935551,,5.34252418219694E-05
60,,0.000846177511630231,,5.3304861567085E-05
61,,0.00164572365931235,,5.3328390004026E-05
62,,0.000820458696362039,,5.32512184599909E-05
63,,0.00100038327797847,,5.3263908248482E-05
64,,0.000939209934022074,,5.31123238579312E-05
65,,0.000798369878998528,,5.30636259281891E-05
66,,0.000827766276149759,,5.2921544001947E-05
67,,0.000885331645706629,,5.29328549964703E-05
68,,0.000763832371162607,,5.28386954647431E-05
69,,0.000814314832771288,,5.27816089652333E-05
70,,0.000855677701699733,,5.2740725222975E-05
71,,0.000739197355508168,,5.26854726740567E-05
72,,0.000749137292550586,,5.25771240972972E-05
73,,0.000756148544817279,,5.24815214703267E-05
74,,0.000738739393943888,,5.25682261741167E-05
75,,0.000736838258742409,,5.24098682762997E-05
76,,0.000720320140007971,,5.22846660987852E-05
77,,0.000820795160911985,,5.22362420360878E-05
78,,0.000722984722244746,,5.22495709628856E-05
79,,0.000729605343760795,,5.20557895197271E-05
80,,0.000701497301924974,,5.20212112678564E-05
81,,0.000705350544587873,,5.19498208996083E-05
82,,0.000714925605157077,,5.18581416054076E-05
83,,0.000695234354459444,,5.17622890674829E-05
84,,0.000699526061728193,,5.17410799966456E-05
85,,0.000701222657860399,,5.16591278937995E-05
86,,0.000692450051315063,,5.16269100535283E-05
87,,0.000689389065028081,,5.14874078999128E-05
88,,0.000685876883578658,,5.14203074817488E-05
89,,0.000686150391884439,,5.13246204536699E-05
90,,0.000683922950138367,,5.12684917703154E-05
91,,0.000680799396941438,,5.12197607167764E-05
92,,0.000681101779584878,,5.11334572092892E-05
93,,0.00067930045312778,,5.10828476126335E-05
94,,0.000678216943349526,,5.1030698696195E-05
95,,0.000678920270947856,,5.09699491431093E-05
96,,0.000677261449757225,,5.09206138667651E-05
97,,0.000676545728927067,,5.08841416012729E-05
98,,0.000676583802080586,,5.08624446229078E-05
99,,0.00067622176804889,,5.08145089315803E-05
